0,1,2,3,4
Shaquille O'Neal,17142000,1999,2000,Los Angeles Lakers
Kevin Garnett,16806000,1999,2000,Minnesota Timberwolves
Alonzo Mourning,15004000,1999,2000,Miami Heat
Juwan Howard,15000000,1999,2000,Washington Wizards
Scottie Pippen,14795000,1999,2000,Portland Trail Blazers
Karl Malone,14000000,1999,2000,Utah Jazz
Larry Johnson,11910000,1999,2000,New York Knicks
Gary Payton,11020000,1999,2000,Seattle SuperSonics
Rasheed Wallace,10800000,1999,2000,Portland Trail Blazers
Shawn Kemp,10780000,1999,2000,Cleveland Cavaliers
Damon Stoudamire,10125000,1999,2000,Portland Trail Blazers
Antonio McDyess,9900000,1999,2000,Denver Nuggets
Antoine Walker,9000000,1999,2000,Boston Celtics
Shareef Abdur-Rahim,9000000,1999,2000,Vancouver Grizzlies
Allen Iverson,9000000,1999,2000,Philadelphia 76ers
Vin Baker,9000000,1999,2000,Seattle SuperSonics
Anfernee Hardaway,9000000,1999,2000,Phoenix Suns
Ray Allen,9000000,1999,2000,Milwaukee Bucks
Kobe Bryant,9000000,1999,2000,Los Angeles Lakers
Stephon Marbury,9000000,1999,2000,New Jersey Nets
Vlade Divac,8837000,1999,2000,Sacramento Kings
Bryant Reeves,8666000,1999,2000,Vancouver Grizzlies
Tom Gugliotta,8558000,1999,2000,Phoenix Suns
Nick Van Exel,8354000,1999,2000,Denver Nuggets
Elden Campbell,7975000,1999,2000,Charlotte Hornets
Terrell Brandon,7400000,1999,2000,Minnesota Timberwolves
Derrick Coleman,7370000,1999,2000,Charlotte Hornets
Glenn Robinson,7250000,1999,2000,Milwaukee Bucks
Steve Smith,7200000,1999,2000,Portland Trail Blazers
Kerry Kittles,7166000,1999,2000,New Jersey Nets
Chris Dudley,7100000,1999,2000,New York Knicks
Theo Ratliff,7031000,1999,2000,Philadelphia 76ers
Matt Geiger,6889000,1999,2000,Philadelphia 76ers
Jason Kidd,6858000,1999,2000,Phoenix Suns
Kenny Anderson,6680000,1999,2000,Boston Celtics
Tyrone Hill,6422000,1999,2000,Philadelphia 76ers
Clifford Robinson,6125000,1999,2000,Phoenix Suns
Jamal Mashburn,5600000,1999,2000,Miami Heat
Steve Nash,5500000,1999,2000,Dallas Mavericks
Alan Henderson,5318000,1999,2000,Atlanta Hawks
Donyell Marshall,5250000,1999,2000,Golden State Warriors
Marcus Camby,5250000,1999,2000,New York Knicks
Greg Ostertag,5200000,1999,2000,Utah Jazz
Luc Longley,5175000,1999,2000,Phoenix Suns
P.J. Brown,5124000,1999,2000,Miami Heat
Jermaine O'Neal,5075000,1999,2000,Portland Trail Blazers
Erick Dampier,4988000,1999,2000,Golden State Warriors
Wesley Person,4900000,1999,2000,Cleveland Cavaliers
Isaac Austin,4819000,1999,2000,Washington Wizards
Loy Vaught,4810000,1999,2000,Detroit Pistons
Robert Horry,4800000,1999,2000,Los Angeles Lakers
Derrick McKey,4800000,1999,2000,Indiana Pacers
Jim Mcilvaine,4800000,1999,2000,New Jersey Nets
Jerry Stackhouse,4781000,1999,2000,Detroit Pistons
Charlie Ward,4540000,1999,2000,New York Knicks
Dale Davis,4490000,1999,2000,Indiana Pacers
Lorenzen Wright,4400000,1999,2000,Atlanta Hawks
Mookie Blaylock,4200000,1999,2000,Golden State Warriors
Chris Mills,4200000,1999,2000,Golden State Warriors
Chris Childs,4160000,1999,2000,New York Knicks
Darrel Armstrong,4125000,1999,2000,Orlando Magic
Bryon Russell,4000000,1999,2000,Utah Jazz
Brent Barry,3960000,1999,2000,Seattle SuperSonics
Jason Caffey,3937000,1999,2000,Golden State Warriors
Vitaly Potapenko,3810000,1999,2000,Boston Celtics
Bob Sura,3760000,1999,2000,Cleveland Cavaliers
Walt Williams,3750000,1999,2000,Houston Rockets
Scott Williams,3750000,1999,2000,Milwaukee Bucks
Sam Cassell,3500000,1999,2000,Milwaukee Bucks
Michael Olowokandi,3456000,1999,2000,Los Angeles Clippers
Elton Brand,3375000,1999,2000,Chicago Bulls
Eric Williams,3336000,1999,2000,Boston Celtics
Travis Best,3250000,1999,2000,Indiana Pacers
Michael Stewart,3200000,1999,2000,Toronto Raptors
Derek Strong,3159000,1999,2000,Orlando Magic
Mike Bibby,3092000,1999,2000,Vancouver Grizzlies
Rick Fox,3033000,1999,2000,Los Angeles Lakers
Steve Francis,3020000,1999,2000,Houston Rockets
Derek Fisher,3000000,1999,2000,Los Angeles Lakers
Lamond Murray,3000000,1999,2000,Cleveland Cavaliers
Eric Snow,3000000,1999,2000,Philadelphia 76ers
Ervin Johnson,2951000,1999,2000,Milwaukee Bucks
Brent Price,2944000,1999,2000,Vancouver Grizzlies
Travis Knight,2800000,1999,2000,Los Angeles Lakers
Raef LaFrentz,2777000,1999,2000,Denver Nuggets
Tracy Murray,2720000,1999,2000,Washington Wizards
Tyrone Nesby,2716000,1999,2000,Los Angeles Clippers
Baron Davis,2712000,1999,2000,Charlotte Hornets
Vonteego Cummings,2600000,1999,2000,Golden State Warriors
David Wesley,2520000,1999,2000,Charlotte Hornets
Dean Garrett,2520000,1999,2000,Minnesota Timberwolves
Antawn Jamison,2503000,1999,2000,Golden State Warriors
Walter McCarty,2500000,1999,2000,Boston Celtics
Anthony Peeler,2495000,1999,2000,Minnesota Timberwolves
Lamar Odom,2445000,1999,2000,Los Angeles Clippers
Cedric Henderson,2400000,1999,2000,Cleveland Cavaliers
Lawrence Funderburke,2400000,1999,2000,Sacramento Kings
Lindsey Hunter,2350000,1999,2000,Detroit Pistons
Malik Rose,2285000,1999,2000,San Antonio Spurs
Vince Carter,2267000,1999,2000,Toronto Raptors
Jonathan Bender,2214000,1999,2000,Indiana Pacers
Dell Curry,2100000,1999,2000,Toronto Raptors
Robert Traylor,2059000,1999,2000,Milwaukee Bucks
Othella Harrington,2025000,1999,2000,Vancouver Grizzlies
Wally Szczerbiak,2011000,1999,2000,Minnesota Timberwolves
Eric Montross,2000000,1999,2000,Detroit Pistons
Eric Piatkowski,2000000,1999,2000,Los Angeles Clippers
Rodney Rogers,2000000,1999,2000,Phoenix Suns
Jamie Feick,2000000,1999,2000,New Jersey Nets
John Wallace,2000000,1999,2000,New York Knicks
Terry Porter,2000000,1999,2000,San Antonio Spurs
Shandon Anderson,2000000,1999,2000,Houston Rockets
Calbert Cheaney,2000000,1999,2000,Boston Celtics
Michael Curry,2000000,1999,2000,Detroit Pistons
George Lynch,2000000,1999,2000,Philadelphia 76ers
Grant Long,2000000,1999,2000,Vancouver Grizzlies
Chris Crawford,2000000,1999,2000,Atlanta Hawks
Steve Kerr,1968000,1999,2000,San Antonio Spurs
Vinny Del Negro,1925000,1999,2000,Milwaukee Bucks
Sean Rooks,1920000,1999,2000,Dallas Mavericks
Lucious Harris,1920000,1999,2000,New Jersey Nets
Jason Williams,1879000,1999,2000,Sacramento Kings
Richard Hamilton,1836000,1999,2000,Washington Wizards
Larry Hughes,1722000,1999,2000,Philadelphia 76ers
Andre Miller,1682000,1999,2000,Cleveland Cavaliers
